"Longitud" "Latitud" "Maximo"
-71.25000 -30.82780 46.00000
-70.77080 -30.85470 74.50000
-71.30750 -30.88830 67.00000
-71.55030 -30.90000 72.00000
-70.77310 -30.92420 1.20000
-70.76390 -30.96690 87.00000
-71.08560 -31.00780 52.00000
-70.58110 -31.01170 58.80000
-70.66640 -31.01530 77.00000
-70.58580 -31.01810 86.90000
-71.04030 -31.03250 55.20000
-70.95000 -31.08360 60.00000
-70.88500 -31.11190 65.30000
-71.00080 -31.17360 51.90000
-71.45690 -31.39860 30.20000
-70.81250 -31.50690 196.90000
-70.82110 -31.53310 47.10000
-70.96440 -31.56080 4.50000
-70.98170 -31.56690 43.60000
-71.44530 -31.58750 27.50000
-71.19080 -31.64500 42.50000
-71.25470 -31.66470 50.20000
-70.71580 -31.69580 51.10000
-70.83170 -31.72890 50.00000
-71.16190 -31.74500 35.70000
-70.96690 -31.77580 50.00000
-70.93030 -31.81170 55.10000
-70.60000 -31.81670 22.80000
-70.67060 -31.90000 56.50000
-70.77080 -31.90190 59.00000
-71.50860 -31.91030 24.10000
-71.13610 -31.93220 44.00000
-70.61330 -31.93360 55.00000
-71.07470 -31.94810 59.70000
-70.59440 -31.96670 51.30000
-71.22250 -32.06750 55.60000
-70.80000 -32.08360 30.90000
-71.31250 -32.10860 61.50000
-71.50000 -32.11750 67.40000
-71.16280 -32.14440 66.60000
-71.03000 -32.15670 40.00000
-70.78330 -32.18360 40.00000
-70.71190 -32.22530 36.70000
-70.78390 -32.22610 31.00000
-70.71000 -32.22860 38.00000
-71.13860 -32.25280 56.00000
-70.99970 -32.27560 28.50000
-70.98890 -32.27860 24.80000
-71.07920 -32.30580 50.50000
-71.24250 -32.30750 56.00000
-70.73810 -32.33000 52.10000
-70.75280 -32.34080 36.50000
-71.09310 -32.39140 44.00000
-71.37500 -32.39190 81.60000
-70.68080 -32.41860 43.40000
-70.91670 -32.42610 34.00000
-71.06060 -32.42670 47.50000
-71.20670 -32.43720 53.50000
-70.93190 -32.48560 46.40000
-70.57890 -32.49890 28.00000
-70.58110 -32.50170 37.90000
-71.12940 -32.53330 61.00000
-70.70000 -32.56690 38.00000
-70.86940 -32.58640 53.00000
-71.43220 -32.59190 76.00000
-71.19640 -32.65310 77.00000
-70.60000 -32.68360 51.50000
-70.93420 -32.73440 34.50000
-70.72470 -32.74720 49.10000
-70.73670 -32.75720 35.40000
-71.41610 -32.79360 51.90000
-71.26530 -32.81190 83.00000
-70.60000 -32.83360 54.00000
-70.35330 -32.83470 64.00000
-71.02560 -32.84030 39.50000
-70.50940 -32.85030 46.60000
-71.11670 -32.85060 56.00000
-70.47190 -32.86030 58.50000
-70.16750 -32.86250 50.20000
-71.20920 -32.89580 72.50000
-70.30360 -32.90670 251.60000
-70.54030 -32.91640 25.60000
-70.35530 -32.92280 67.50000
-70.81780 -32.93190 36.00000
-70.80640 -32.94720 45.40000
-70.75360 -32.94750 43.50000
-71.34500 -32.95780 87.00000
-71.54670 -33.00190 60.50000
