Longitud,Latitud,Promedio
-70.71000,-32.22860,3.10000
-71.13860,-32.25280,3.40000
-70.99970,-32.27560,1.80000
-70.98890,-32.27860,2.10000
-71.07920,-32.30580,3.30000
-71.24250,-32.30750,2.60000
-70.73810,-32.33000,3.00000
-70.75280,-32.34080,3.30000
-71.09310,-32.39140,2.90000
-71.37500,-32.39190,3.60000
-70.68080,-32.41860,4.20000
-70.91670,-32.42610,3.40000
-71.06060,-32.42670,3.30000
-71.20670,-32.43720,3.60000
-70.93190,-32.48560,3.50000
-70.57890,-32.49890,3.50000
-70.58110,-32.50170,3.60000
-71.12940,-32.53330,3.90000
-70.70000,-32.56690,3.40000
-70.86940,-32.58640,4.80000
-71.43220,-32.59190,4.20000
-71.19640,-32.65310,4.80000
-70.60000,-32.68360,4.60000
-70.93420,-32.73440,3.10000
-70.72470,-32.74720,4.70000
-70.73670,-32.75720,3.00000
-71.41610,-32.79360,3.80000
-71.26530,-32.81190,4.30000
-70.60000,-32.83360,4.90000
-70.35330,-32.83470,8.10000
-71.02560,-32.84030,2.70000
-70.50940,-32.85030,5.50000
-71.11670,-32.85060,4.30000
-70.47190,-32.86030,6.70000
-70.16750,-32.86250,10.70000
-71.20920,-32.89580,5.20000
-70.30360,-32.90670,13.40000
-70.54030,-32.91640,3.90000
-70.35530,-32.92280,8.30000
-70.81780,-32.93190,3.00000
-70.80640,-32.94720,4.40000
-70.75360,-32.94750,4.30000
-71.34500,-32.95780,4.50000
-71.54670,-33.00190,3.00000
-70.99330,-33.00530,5.00000
-70.90810,-33.01940,1.10000
-71.58330,-33.05030,3.80000
-71.10000,-33.05060,5.10000
-70.76860,-33.07580,2.80000
-71.61690,-33.08190,9.20000
-70.80170,-33.08560,2.90000
-71.21440,-33.09860,6.00000
-71.55530,-33.14500,6.90000
-71.34280,-33.15420,6.20000
-71.14670,-33.16860,7.60000
-70.11220,-33.18690,8.20000
-70.27360,-33.22140,5.50000
-71.29140,-33.28970,4.30000
-70.35720,-33.30860,13.10000
-70.45610,-33.32560,5.00000
-71.41310,-33.32780,5.30000
-70.36360,-33.34140,9.20000
-70.36360,-33.34140,11.20000
-70.45080,-33.37030,6.80000
-70.39610,-33.37330,9.40000
-70.53670,-33.39500,7.80000
-70.51420,-33.43310,3.40000
-71.02560,-33.43860,3.40000
-71.62390,-33.43890,5.90000
-71.45060,-33.43940,5.10000
-70.64440,-33.44860,4.50000
-71.28110,-33.47970,4.20000
-70.13670,-33.48780,9.90000
-70.13420,-33.49000,3.70000
-70.81670,-33.49610,3.00000
-70.51640,-33.49640,8.20000
-70.51440,-33.50170,7.50000
-70.26170,-33.53110,8.30000
-70.81670,-33.55030,3.00000
-71.10610,-33.56970,3.00000
-71.62500,-33.57470,5.20000
-70.48530,-33.59140,10.90000
-70.37920,-33.59390,5.20000
-71.51060,-33.63440,6.20000
-70.35310,-33.63610,6.80000
-71.33720,-33.66140,6.50000
-70.58690,-33.67360,6.90000
-70.08860,-33.67670,9.70000
-71.19970,-33.68030,3.90000
-70.92360,-33.69580,3.60000
-71.55500,-33.72190,2.70000
-70.30080,-33.73470,6.80000
-71.15140,-33.75970,4.50000
-70.23940,-33.78250,7.80000
-70.87830,-33.80440,3.20000
-70.07000,-33.80530,18.10000
-70.20890,-33.80560,9.60000
-70.88360,-33.81110,5.60000
-71.66310,-33.86220,6.70000
-70.87750,-33.88580,6.30000
-71.24080,-33.89080,4.30000
-71.73360,-33.94580,6.00000
-71.09440,-34.03500,6.80000
-71.18860,-34.08330,5.80000
-71.72580,-34.12060,7.50000
-70.84360,-34.18420,3.20000
-70.75080,-34.19080,6.40000
-71.27640,-34.20330,7.50000
-70.55060,-34.24030,9.30000
-70.32810,-34.24670,13.70000
-71.37170,-34.27310,3.90000
-71.40580,-34.28720,6.60000
-71.08000,-34.28750,8.20000
-70.37640,-34.34640,19.60000
-70.30560,-34.36280,15.00000
-72.00440,-34.38440,9.80000
-70.21000,-34.40780,10.90000
-70.86670,-34.42170,7.80000
-70.77940,-34.43690,8.80000
-70.70280,-34.49220,9.70000
-71.21220,-34.52640,7.80000
-70.50970,-34.56060,5.60000
-71.76530,-34.57420,8.50000
-70.96860,-34.59830,8.60000
-70.87390,-34.68670,16.40000
-70.82670,-34.71860,9.40000
-70.35920,-34.71970,19.30000
-70.75190,-34.74280,18.40000
-72.06500,-34.76750,33.10000
-71.13310,-34.76940,10.30000
-71.41420,-34.78080,8.40000
-71.62890,-34.80560,11.80000
-71.74860,-34.86610,10.10000
-71.03530,-34.91140,16.10000
-71.58560,-34.95140,8.90000
-70.91780,-34.96330,20.10000
-71.23610,-34.98110,9.80000
-72.01000,-34.98440,4.30000
-70.82060,-34.99610,18.30000
-70.81190,-35.00080,21.20000
-71.29060,-35.04220,10.80000
-71.61390,-35.09690,9.80000
-70.97470,-35.12420,19.30000
-71.09780,-35.18330,17.90000
-72.28330,-35.21830,10.60000
-71.98000,-35.24390,7.80000
-71.32390,-35.25780,10.70000
-71.01560,-35.27440,18.90000
-71.52330,-35.30640,11.10000
-71.09830,-35.31310,18.70000
-72.40890,-35.32420,14.40000
-71.83250,-35.37250,8.00000
-72.20830,-35.40690,12.90000
-71.04310,-35.41890,26.80000
-71.61970,-35.43580,9.50000
-71.73330,-35.45250,9.00000
-71.29310,-35.48640,17.30000
-71.31830,-35.49250,16.90000
-72.09140,-35.53890,10.50000
-71.08690,-35.59310,38.50000
-71.65720,-35.59500,12.40000
-71.76780,-35.61690,9.90000
-71.40220,-35.62420,15.20000
-71.26060,-35.63810,24.50000
-71.94610,-35.66140,11.10000
-71.06830,-35.69890,29.30000
-71.07720,-35.70110,31.00000
-71.11390,-35.70610,29.90000
-70.77780,-35.73810,21.00000
-72.18690,-35.78250,10.60000
-71.76640,-35.78560,12.00000
-70.76060,-35.81970,20.30000
-71.59530,-35.83810,14.80000
-71.11720,-35.86720,31.00000
-71.01920,-35.88420,21.30000
-72.37360,-35.89670,14.00000
-71.29810,-35.90860,23.80000
-71.29580,-35.91060,31.40000
-71.68420,-35.94780,16.50000
-71.91220,-35.98440,17.30000
-72.08920,-36.05720,14.40000
-71.39080,-36.07580,27.60000
-71.61560,-36.11280,22.70000
-72.42140,-36.11280,15.10000
-71.82830,-36.18780,20.30000
-71.45690,-36.23030,27.10000
-72.34280,-36.23530,17.00000
-71.54810,-36.25580,28.10000
-71.41420,-36.28500,41.30000
-71.40830,-36.29720,45.30000
-72.04000,-36.31830,19.90000
-71.64940,-36.35810,33.60000
-71.62330,-36.37580,26.90000
-72.39440,-36.42140,18.10000
-72.69110,-36.46690,15.70000
-72.68830,-36.47500,14.30000
-72.42830,-36.52750,19.10000
-72.93110,-36.54560,24.50000
-71.52470,-36.58360,39.70000
-71.52560,-36.58560,29.10000
-72.10030,-36.59670,20.40000
-72.12670,-36.63190,23.30000
-72.84890,-36.63640,40.20000
-72.95030,-36.63940,20.30000
-71.79890,-36.64080,40.30000
-71.39500,-36.65110,55.20000
-72.45610,-36.65440,21.30000
-71.29890,-36.67310,43.50000
-72.57940,-36.70780,22.90000
-72.42390,-36.76220,22.30000
-72.89220,-36.79250,24.40000
-71.66080,-36.80000,47.90000
-72.93920,-36.81310,27.40000
-71.89440,-36.81890,41.20000
-73.01640,-36.82030,19.30000
-73.10000,-36.83330,24.70000
-73.06190,-36.83860,25.40000
-71.64250,-36.86860,50.90000
-71.47920,-36.91080,40.70000
-71.58140,-36.91750,51.80000
-71.57560,-36.92440,48.30000
-72.10080,-36.97640,28.20000
-72.94140,-36.98250,19.50000
-71.76500,-37.11140,51.90000
-72.06690,-37.15280,32.60000
-72.32420,-37.21190,15.20000
-73.24310,-37.25530,28.60000
-72.71640,-37.27720,21.80000
-71.82280,-37.28060,53.70000
-71.98360,-37.28360,30.60000
